Stamnummer,Thuisploeg,Uitploeg
137,RSC Wasmes,RSC Wasmes
138,Jupille,Jupille
139,US de Gilly,US de Gilly
140,Zinnik,Zinnik
141,ARS de la Bourse de Bruxelles,ARS de la Bourse de Bruxelles
142,KFC Avenir Lembeek,KFC Avenir Lembeek
143,Royale Jeunesse Arlonaise,Royale Jeunesse Arlonaise
144,Union Gantoise,Union Gantoise
145,Beausejour FC Seraing,Beausejour FC Seraing
146,Daring Club Blankenberge,Daring Club Blankenberge
147,Drapeau FC,Drapeau FC
148,KFC Turnhout,KFC Turnhout
149,Ham FC,Ham FC
150,KFC Poperinge,KFC Poperinge
151,KSV Nieuwpoort,KSV Nieuwpoort
152,Copain FC Anvers,Copain FC Anvers
153,Bank van den Middenstand VV,Bank van den Middenstand VV
154,Cahottes-Sportif,Cahottes-Sportif
155,Beerschot VA,Beerschot VA
156,UR Namur,UR Namur
157,Antwerpen,Antwerpen
158,Antwerpen,Antwerpen
159,Kortrijk,Kortrijk
160,Antwerpen,Antwerpen
161,Stade Kortrijk,Stade Kortrijk
162,Royale Intercorporation Liégeoise,Royale Intercorporation Liégeoise
163,Unknown Club,Unknown Club
164,Union Sportive Péruwelzienne,Union Sportive Péruwelzienne
165,Antwerpen,Antwerpen
166,Antwerpen,Antwerpen
167,RFC Seraing,RFC Seraing
168,Union Condruzienne Football Club,Union Condruzienne Football Club
169,Antwerpen,Antwerpen
170,Antwerpen,Antwerpen
171,RFC Grez-Doiceau,RFC Grez-Doiceau
172,RSC Tilffois,RSC Tilffois
173,RWA Namur,RWA Namur
174,Antwerpen,Antwerpen
175,Aulnois Sporting Club,Aulnois Sporting Club
176,FC Ninove,FC Ninove
177,Leuze Sports,Leuze Sports
178,La Hulpe SC,La Hulpe SC
179,Entente Amay,Entente Amay
180,Aurore Sportive Marbehan,Aurore Sportive Marbehan
181,Cercle Sportif St-Roch Andrimont,Cercle Sportif St-Roch Andrimont
182,Stade Nivellois,Stade Nivellois
183,Antwerpen,Antwerpen
184,Union Momalloise,Union Momalloise
185,Cercle Sportif Métallurgique Hoboken,Cercle Sportif Métallurgique Hoboken
186,Wevelghem Sportif,Wevelghem Sportif
187,Football Club Saint-Louis Bouillon,Football Club Saint-Louis Bouillon
188,RFC Malmundaria 1904,RFC Malmundaria 1904
189,KEG Gistel,KEG Gistel
190,Stade Waremmien FC,Stade Waremmien FC
191,Union Namêchoise,Union Namêchoise
192,Union Oleyenne,Union Oleyenne
193,Antwerpen,Antwerpen
194,Brugge,Brugge
195,Gent,Gent
196,Luik,Luik
197,Luik,Luik
198,Mechelen,Mechelen
199,RAS Jodoigne,RAS Jodoigne
200,Excelsior Virton,Excelsior Virton
201,KSC Maccabi Voetbal Antwerpen,KSC Maccabi Voetbal Antwerpen
202,Union Football Club Haneffe,Union Football Club Haneffe
203,Albert Star Club de Carlsbourg,Albert Star Club de Carlsbourg
204,Étoile Sportive Vaux-lez-Rosières,Étoile Sportive Vaux-lez-Rosières
205,Entente Wartet,Entente Wartet
206,Victoria FC Louvain,Victoria FC Louvain
207,Football Club Binchois,Football Club Binchois
208,Milmort FC,Milmort FC
209,Glons Football Club,Glons Football Club
210,Turnhoutse SK HIH,Turnhoutse SK HIH
211,Vigor Wuitens Hamme,Vigor Wuitens Hamme
212,Éclair Football Club Aubel,Éclair Football Club Aubel
213,UR La Louvière Centre,UR La Louvière Centre
214,Stade Hollognois,Stade Hollognois
215,RFC Hannutois,RFC Hannutois
216,Royal Excel Moeskroen,Royal Excel Moeskroen
217,Luik,Luik
218,VV Tielt,VV Tielt
219,Antwerpen,Antwerpen
220,Antwerpen,Antwerpen
221,Sint-Niklase SK,Sint-Niklase SK
222,Houlteau Football Club,Houlteau Football Club
223,Daring Club Leuven,Daring Club Leuven
224,Excelsior Moeskroen,Excelsior Moeskroen
225,KSV Sottegem,KSV Sottegem
226,Football Club de Trooz,Football Club de Trooz
227,Ottignies Sports,Ottignies Sports
228,KFC Brasschaat,KFC Brasschaat
229,Concordia Football Club Pepinster,Concordia Football Club Pepinster
230,Standaard Athletiek Diest,Standaard Athletiek Diest
231,FCE Meetjesland,FCE Meetjesland
232,Bilzerse Waltwilder VV,Bilzerse Waltwilder VV
233,Ganda Athletic Club,Ganda Athletic Club
234,Goutroux Sports,Goutroux Sports
235,Union Sportive Couillet,Union Sportive Couillet
236,Entente Blegnytoise,Entente Blegnytoise
237,Luik,Luik
238,Union Sportive d'Auvelais,Union Sportive d'Auvelais
239,Excelsior AC Sint-Niklaas,Excelsior AC Sint-Niklaas
240,Houtain Football Club,Houtain Football Club
241,Unknown Club,Unknown Club
242,Melle Sport,Melle Sport
243,Unknown Club,Unknown Club
244,Olympic Charleroi Châtelet Farciennes,Olympic Charleroi Châtelet Farciennes
245,Unknown Club,Unknown Club
246,RES Couvin-Mariembourg,RES Couvin-Mariembourg
247,Unknown Club,Unknown Club
248,Unknown Club,Unknown Club
249,Unknown Club,Unknown Club
250,Scarabee Club Yvoir,Scarabee Club Yvoir
251,RSC Athusien,RSC Athusien
252,Unknown Club,Unknown Club
253,RFCB Sprimont,RFCB Sprimont
254,Unknown Club,Unknown Club
255,Elan Dalhem,Elan Dalhem
256,Unknown Club,Unknown Club
257,Juprelle Union FC,Juprelle Union FC
258,RCS Florennois,RCS Florennois
259,Unknown Club,Unknown Club
260,RA Marchiennoise des Sports,RA Marchiennoise des Sports
261,RRC Vottem,RRC Vottem
262,Unknown Club,Unknown Club
263,Stade de Bruxelles,Stade de Bruxelles
264,Unknown Club,Unknown Club
265,KFC Duffel,KFC Duffel
266,KSK Hoboken,KSK Hoboken
267,KFC Roeselare,KFC Roeselare
268,Unknown Club,Unknown Club
269,KFC Union Leopoldsburg,KFC Union Leopoldsburg
270,Unknown Club,Unknown Club
271,KSV Geraardsbergen,KSV Geraardsbergen
272,Unknown Club,Unknown Club
273,Wallonia SC Mettet,Wallonia SC Mettet
274,ARS de l'Entité de Floreffe,ARS de l'Entité de Floreffe
275,Excelsior FC Lambermontois,Excelsior FC Lambermontois
276,Unknown Club,Unknown Club
277,Unknown Club,Unknown Club
278,Football Couillet Marcinelle,Football Couillet Marcinelle
279,RUA Trois Frontières,RUA Trois Frontières
280,Unknown Club,Unknown Club
281,FC Zwarte Leeuw Vilvoorde,FC Zwarte Leeuw Vilvoorde
282,Cercle Sportif Andennais,Cercle Sportif Andennais
283,RCSJ de Grivegnée,RCSJ de Grivegnée
284,Unknown Club,Unknown Club
285,RRC d'Etterbeek,RRC d'Etterbeek
286,Football Club Lothois,Football Club Lothois
287,Unknown Club,Unknown Club
288,FC Étoile Sportive Gand,FC Étoile Sportive Gand
289,Unknown Club,Unknown Club
290,KRC Genk,KRC Genk
291,Unknown Club,Unknown Club
292,Standard FC Bouillon,Standard FC Bouillon
293,Unknown Club,Unknown Club
294,KVK Beringen,KVK Beringen
295,Standaard Bruyèretois,Standaard Bruyèretois
296,KVV Vlug en Vrij Stokkem,KVV Vlug en Vrij Stokkem
297,Unknown Club,Unknown Club
298,RFC Entente Enghien Sports,RFC Entente Enghien Sports
299,RUC Verviétoise,RUC Verviétoise
300,Slavia Winterslag,Slavia Winterslag
301,KSV Bornem,KSV Bornem
302,Stade Brainois,Stade Brainois
303,Unknown Club,Unknown Club
304,Hooger Op Leuven,Hooger Op Leuven
305,Unknown Club,Unknown Club
306,Standard FC Andrimont,Standard FC Andrimont
307,Koninklijke West-Vlaamse Bedrijfssportbond,Koninklijke West-Vlaamse Bedrijfssportbond
308,Unknown Club,Unknown Club
309,KGS Middelkerke-Leffinge,KGS Middelkerke-Leffinge
310,Unknown Club,Unknown Club
311,KFC Wuustwezel,KFC Wuustwezel
312,Unknown Club,Unknown Club
313,Verbroedering Hemiksem,Verbroedering Hemiksem
314,Unknown Club,Unknown Club
315,Ruisbroek FC,Ruisbroek FC
316,Unknown Club,Unknown Club
317,KFC Muizen,KFC Muizen
318,Unknown Club,Unknown Club
319,CS Visé,CS Visé
320,Léopold Club Mesvinois,Léopold Club Mesvinois
321,Unknown Club,Unknown Club
322,Sint-Truidense VV,Sint-Truidense VV
323,Unknown Club,Unknown Club
324,Unknown Club,Unknown Club
325,KFC Belgica Edegem,KFC Belgica Edegem
326,Unknown Club,Unknown Club
327,KVV Edegem Sport,KVV Edegem Sport
328,RFC Queue-du-Bois,RFC Queue-du-Bois
329,Westerlo Football Club,Westerlo Football Club
330,KFC Grobbendonk,KFC Grobbendonk
331,RAS Anderlecht-Veeweyde,RAS Anderlecht-Veeweyde
332,Cercle Sportif Buysinghen,Cercle Sportif Buysinghen
333,Unknown Club,Unknown Club
334,Verenigd Tervuren-Duisburg,Verenigd Tervuren-Duisburg
335,Unknown Club,Unknown Club
336,RES Templiers-Nandrin,RES Templiers-Nandrin
337,Unknown Club,Unknown Club
338,KFC Verbroedering Geel,KFC Verbroedering Geel
339,Unknown Club,Unknown Club
340,KVV Ons Genoegen Vorselaar,KVV Ons Genoegen Vorselaar
341,Unknown Club,Unknown Club
342,Esneux Sportif,Esneux Sportif
343,KVV Sparta Schaffen,KVV Sparta Schaffen
344,Netha Football Club Herentals,Netha Football Club Herentals
345,Unknown Club,Unknown Club
346,RFC Evere,RFC Evere
347,Unknown Club,Unknown Club
348,VC Hooger-Op Bouwel,VC Hooger-Op Bouwel
349,RAC Leuze-Longchamps,RAC Leuze-Longchamps
350,FC Heystoise,FC Heystoise
351,KVK Niel,KVK Niel
352,Unknown Club,Unknown Club
353,KVK Zaventem,KVK Zaventem
354,Unknown Club,Unknown Club
355,FC 1912 Raeren-Eynatten,FC 1912 Raeren-Eynatten
356,KVV Standaard Meulestede,KVV Standaard Meulestede
357,Europa 90 Kraainem FC,Europa 90 Kraainem FC
358,Unknown Club,Unknown Club
359,KV Sparta Ertvelde-Rieme,KV Sparta Ertvelde-Rieme
360,K Ramsel FC,K Ramsel FC
361,Unknown Club,Unknown Club
362,KVO Aarschot,KVO Aarschot
363,Zandhovense SK,Zandhovense SK
364,Unknown Club,Unknown Club
365,CS de Schaerbeek,CS de Schaerbeek
366,Unknown Club,Unknown Club
367,FC Verbroedering Wevelghem,FC Verbroedering Wevelghem
368,Unknown Club,Unknown Club
369,KFC Heultje,KFC Heultje
370,RU Wallonne Ciney,RU Wallonne Ciney
371,Unknown Club,Unknown Club
372,RSD Jette,RSD Jette
373,Unknown Club,Unknown Club
374,Union FC Marche,Union FC Marche
375,Unknown Club,Unknown Club
376,Excelsior FC Moustier,Excelsior FC Moustier
377,Unknown Club,Unknown Club
378,KFC Vlug en Vrij Bornem,KFC Vlug en Vrij Bornem
379,KVC Haacht,KVC Haacht
380,Unknown Club,Unknown Club
381,RCS Entente Mosane,RCS Entente Mosane
382,Unknown Club,Unknown Club
383,Olympic Pirates Deurne - Borgerhout,Olympic Pirates Deurne - Borgerhout
384,Temsche SK,Temsche SK
385,Royal Entente Mons Nord,Royal Entente Mons Nord
386,Unknown Club,Unknown Club
387,Stade Mouscronnois,Stade Mouscronnois
388,RSA Forchies,RSA Forchies
389,Unknown Club,Unknown Club
390,Châtelineau Sportif,Châtelineau Sportif
391,Unknown Club,Unknown Club
392,FC Châtelineau,FC Châtelineau
393,Unknown Club,Unknown Club
394,Kortenberg FC,Kortenberg FC
395,Unknown Club,Unknown Club
396,Beringen FC,Beringen FC
397,Unknown Club,Unknown Club
398,RSC Entente Engis,RSC Entente Engis
399,RFC Union La Calamine,RFC Union La Calamine
400,Unknown Club,Unknown Club
401,RFC Ressaix,RFC Ressaix
402,RFC Chaudfontaine,RFC Chaudfontaine
403,Unknown Club,Unknown Club
404,KWS Club Lauwe,KWS Club Lauwe
405,Unknown Club,Unknown Club
406,SC City Pirates Antwerpen,SC City Pirates Antwerpen
407,Unknown Club,Unknown Club
408,FC Waereghem Sportief,FC Waereghem Sportief
409,Unknown Club,Unknown Club
410,Waterschei SV Thor Genk,Waterschei SV Thor Genk
411,Unknown Club,Unknown Club
412,CS de la Salm,CS de la Salm
413,Unknown Club,Unknown Club
414,RRC de Boitsfort,RRC de Boitsfort
415,Unknown Club,Unknown Club
416,KVK Waaslandia Burcht,KVK Waaslandia Burcht
417,Unknown Club,Unknown Club
418,RUS Léglise,RUS Léglise
419,Unknown Club,Unknown Club
420,KVV Looi Sport Tessenderlo,KVV Looi Sport Tessenderlo
421,Unknown Club,Unknown Club
422,KV Westmalle,KV Westmalle
423,Unknown Club,Unknown Club
424,KFC Wezembeek-Oppem,KFC Wezembeek-Oppem
425,Unknown Club,Unknown Club
426,Bocholter VV,Bocholter VV
427,Unknown Club,Unknown Club
428,KFC Wakken,KFC Wakken
429,Unknown Club,Unknown Club
430,KFC Lentezon Beerse,KFC Lentezon Beerse
431,Unknown Club,Unknown Club
432,KFC Dessel Sport,KFC Dessel Sport
433,Unknown Club,Unknown Club
434,Ans FC,Ans FC
435,Unknown Club,Unknown Club
436,CS Tubizien,CS Tubizien
437,Unknown Club,Unknown Club
438,KCS Machelen,KCS Machelen
439,Unknown Club,Unknown Club
440,RFC Ecaussinnois,RFC Ecaussinnois
441,Unknown Club,Unknown Club
442,ASSA Berchem-Audenaerde,ASSA Berchem-Audenaerde
443,Unknown Club,Unknown Club
444,FC L'Etoile Opheylissem,FC L'Etoile Opheylissem
445,Unknown Club,Unknown Club
446,Vignos FC,Vignos FC
447,Unknown Club,Unknown Club
448,Zwartberg FC,Zwartberg FC
449,KFC Peutie,KFC Peutie
450,Unknown Club,Unknown Club
451,KFC Evergem-Center,KFC Evergem-Center
452,Unknown Club,Unknown Club
453,Rochus Deurne,Rochus Deurne
454,Unknown Club,Unknown Club
455,FC Saint-Nicolas Liège,FC Saint-Nicolas Liège
456,Unknown Club,Unknown Club
457,RUS Fossoise,RUS Fossoise
458,Racing Club de Waterloo,Racing Club de Waterloo
459,Unknown Club,Unknown Club
460,KFC Herenthout,KFC Herenthout
461,Unknown Club,Unknown Club
462,Royale Entente Carolorégienne,Royale Entente Carolorégienne
463,Unknown Club,Unknown Club
464,Cercle Sportif Saint-Louis Athus,Cercle Sportif Saint-Louis Athus
465,Unknown Club,Unknown Club
466,RFC Houdinois,RFC Houdinois
467,Reed Star,Reed Star
468,Unknown Club,Unknown Club
469,La Royale Union Sambrevilloise,La Royale Union Sambrevilloise
470,Unknown Club,Unknown Club
471,Châtelet,Châtelet
472,Unknown Club,Unknown Club
473,FC St-Jozef SK Rijkevorsel,FC St-Jozef SK Rijkevorsel
474,Avenir Libramontois FC,Avenir Libramontois FC
475,Unknown Club,Unknown Club
476,Jeunesse Sportive de Libramont,Jeunesse Sportive de Libramont
477,Unknown Club,Unknown Club
478,Genk VV,Genk VV
479,Unknown Club,Unknown Club
480,Standaard Football Club Beveren-Waes,Standaard Football Club Beveren-Waes
481,Unknown Club,Unknown Club
482,Cercle Sportif Espérance Tubize,Cercle Sportif Espérance Tubize
483,Unknown Club,Unknown Club
484,Vroenhoven VV,Vroenhoven VV
485,Voetbal Club Standaard Elen,Voetbal Club Standaard Elen
486,Unknown Club,Unknown Club
487,Football Club Scela Zele,Football Club Scela Zele
488,Unknown Club,Unknown Club
489,KV Temsica,KV Temsica
490,Unknown Club,Unknown Club
491,Entente des Clubs de Mons et Extension,Entente des Clubs de Mons et Extension
492,Unknown Club,Unknown Club
493,Hechtel VV,Hechtel VV
494,KMSK Deinze,KMSK Deinze
495,Unknown Club,Unknown Club
496,Torhout 1992 KM,Torhout 1992 KM
497,Unknown Club,Unknown Club
498,Neerpelt VV,Neerpelt VV
499,Unknown Club,Unknown Club
500,FC Wezel Sport,FC Wezel Sport
501,Unknown Club,Unknown Club
502,Hoeselt VV,Hoeselt VV
503,Unknown Club,Unknown Club
504,KFC Mol,KFC Mol
505,Unknown Club,Unknown Club
506,KMJ FC Zichem,KMJ FC Zichem
507,Unknown Club,Unknown Club
508,KFC Meerhout Sport,KFC Meerhout Sport
509,Unknown Club,Unknown Club
510,FC Traplust,FC Traplust
511,Unknown Club,Unknown Club
512,RUFC Ransartoise,RUFC Ransartoise
513,KFC Verbroedering Arendonk,KFC Verbroedering Arendonk
514,Unknown Club,Unknown Club
515,KFC Mandel United,KFC Mandel United
516,Unknown Club,Unknown Club
517,Maaseik FC,Maaseik FC
518,D.E.S.Berchem-Audenaerde,D.E.S.Berchem-Audenaerde
519,Unknown Club,Unknown Club
520,CRS Chaudfontaine,CRS Chaudfontaine
521,Unknown Club,Unknown Club
522,KFC Kuurne Sport,KFC Kuurne Sport
523,Unknown Club,Unknown Club
524,KFC Schoten SK,KFC Schoten SK
525,Unknown Club,Unknown Club
526,Union Farciennoise,Union Farciennoise
527,Cercle Sportive Nalinnes,Cercle Sportive Nalinnes
528,Royale Étoile Sportive Orgeotoise,Royale Étoile Sportive Orgeotoise
529,Unknown Club,Unknown Club
530,Olympic Rumois,Olympic Rumois
531,Daring Club Ruddervoorde,Daring Club Ruddervoorde
532,Unknown Club,Unknown Club
533,Hoogstraeten Football Club,Hoogstraeten Football Club
534,Football Club Transinnois,Football Club Transinnois
535,Astric Club Bailleulois,Astric Club Bailleulois
536,Koninklijke Voetbal Vereniging Scherpenheuvel Sport,Koninklijke Voetbal Vereniging Scherpenheuvel Sport
537,Union Sportive Schaerbeekois,Union Sportive Schaerbeekois
538,Union Sportive Dergneau,Union Sportive Dergneau
539,Unknown Club,Unknown Club
540,Nervienne Sports Farciennes,Nervienne Sports Farciennes
541,Unknown Club,Unknown Club
542,Football Club Dilbeek,Football Club Dilbeek
543,Unknown Club,Unknown Club
544,Union Sportive Tirlemontoise,Union Sportive Tirlemontoise
545,Royal Football Club Messancy,Royal Football Club Messancy
546,Union Football Club Miécret,Union Football Club Miécret
547,Union Sportive Lambusart,Union Sportive Lambusart
548,Unknown Club,Unknown Club
549,Saint-Gérard Football Club,Saint-Gérard Football Club
550,Football Club Heppignois,Football Club Heppignois
551,Haccourt Football Club,Haccourt Football Club
552,Heverlee Football Club,Heverlee Football Club
553,Football Club Bonneville,Football Club Bonneville
554,Oupeye FC,Oupeye FC
555,Dieghem Sportief,Dieghem Sportief
556,KOVC Sterrebeek,KOVC Sterrebeek
557,Fooz Football Club,Fooz Football Club
558,Excelsior Football Club Lebbeke,Excelsior Football Club Lebbeke
559,Football Club Roclengeois,Football Club Roclengeois
560,Union Sportive Rossart,Union Sportive Rossart
561,Roux Sports,Roux Sports
562,Sportvereeniging Zwaluwen Koningsloo,Sportvereeniging Zwaluwen Koningsloo
563,Unknown Club,Unknown Club
564,Léopold Club Bouge,Léopold Club Bouge
565,Racing Club Herseautois,Racing Club Herseautois
566,Villers Football Club Villers-l'Évêque,Villers Football Club Villers-l'Évêque
567,Brusthem Football Club,Brusthem Football Club
568,Espoir Football Club Berloz,Espoir Football Club Berloz
569,Football Club l'Étoile Avernas-le-Bauduin,Football Club l'Étoile Avernas-le-Bauduin
570,Unknown Club,Unknown Club
571,Houtain St-Siméon Football Club,Houtain St-Siméon Football Club
572,Football Club Haren Sportif,Football Club Haren Sportif
573,KSC Grimbergen,KSC Grimbergen
574,Union Sportive Framerisoise,Union Sportive Framerisoise
575,Association Leuze-Lignette,Association Leuze-Lignette
576,Étoile Sportive du Thier à Liège,Étoile Sportive du Thier à Liège
577,Rosoux Football Club,Rosoux Football Club
578,Sportkring Gulleghem,Sportkring Gulleghem
579,Red Star Football Club Leuven,Red Star Football Club Leuven
580,Unknown Club,Unknown Club
581,Football Club Mouland Sportif,Football Club Mouland Sportif
582,Football Club Novillois,Football Club Novillois
583,Football Club Sainte-Marguerite Péronnes-lez-Binche,Football Club Sainte-Marguerite Péronnes-lez-Binche
584,Voetbal Vereeniging Volharden Aalst,Voetbal Vereeniging Volharden Aalst
585,Voetbal Club Léopold Elewijt,Voetbal Club Léopold Elewijt
586,Étoile Sportive Habaru,Étoile Sportive Habaru
587,Unknown Club,Unknown Club
588,Association Sportive Victoria Bruxelles,Association Sportive Victoria Bruxelles
589,Club Athlétique Société Française Bruxelles,Club Athlétique Société Française Bruxelles
590,Hooger-Op Scherpenheuvel,Hooger-Op Scherpenheuvel
591,Oificium Football Club Anvers,Oificium Football Club Anvers
592,Gives Football Club,Gives Football Club
593,KFC Eendracht Zele,KFC Eendracht Zele
594,Cercle Sivry Sports,Cercle Sivry Sports
595,Red Star Club Houtain-St-Siméon,Red Star Club Houtain-St-Siméon
596,Association Sportive Hollognoise,Association Sportive Hollognoise
597,Lanaken VV,Lanaken VV
598,KFC Moedige Duivels Halen,KFC Moedige Duivels Halen
599,Unknown Club,Unknown Club
600,Banneux FC,Banneux FC
601,Unknown Club,Unknown Club
602,Vlug & Vrij Overpelt-Usines,Vlug & Vrij Overpelt-Usines
603,KFC Nijlen,KFC Nijlen
604,Unknown Club,Unknown Club
605,KV Brucom Sportief,KV Brucom Sportief
606,Unknown Club,Unknown Club
607,Ternesse VV Wommelgem,Ternesse VV Wommelgem
608,KFC De Vrede Wechelderzande,KFC De Vrede Wechelderzande
609,Unknown Club,Unknown Club
610,Schilde SK,Schilde SK
611,Unknown Club,Unknown Club
612,Wijnegem VC,Wijnegem VC
613,Unknown Club,Unknown Club
614,Racing Club Alostois,Racing Club Alostois
615,Sportkring Cruyshautem,Sportkring Cruyshautem
616,Cercle Sportif St-Clément Watermael,Cercle Sportif St-Clément Watermael
617,F.C. Cheminots P.T.T. Charleroi,F.C. Cheminots P.T.T. Charleroi
618,Racing Club Hemptinne,Racing Club Hemptinne
619,Football Club Vooruit Aalst,Football Club Vooruit Aalst
620,Belgian Grain F.C. Anvers,Belgian Grain F.C. Anvers
621,Cook's Antwerp Football Club,Cook's Antwerp Football Club
622,F.C. Zulte Leiezonen,F.C. Zulte Leiezonen
623,Roodenborg Sport Schooten,Roodenborg Sport Schooten
624,Granos Football Club Anvers,Granos Football Club Anvers
